Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00421198548058446,-0.132961324333918,0.029522138429454,0,0,0,2.06490187169485,0.00763309208876671,3.15518256302426E-11,4.56162161811514E-07,0.00545339003883257,1.51827544511072E-05,0.0120480791979355,0,0,0,0,0,0,package://grap_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://grap_description/meshes/base_link.STL,,link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.000808969800299604,-0.000138570798438029,0.0278710310309241,0,0,0,1.345459012011,0.00194001972580055,-7.09464672629289E-08,-0.000115014321831031,0.00149431595473908,-4.44939328188659E-07,0.00120049182104889,0,0,0,0,0,0,package://grap_description/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://grap_description/meshes/link_1.STL,,link2-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0,0,0.090781,0,0,-0.04022,base_link,0,0,-1,0,0,0,0,,,,,,,,
link_2,0.0725656011027376,-0.00493585449999363,0.128767953566197,0,0,0,1.08660833495192,0.00877681843180501,-5.66224815842472E-06,0.000146344087580709,0.00836958858568757,0.00029566340732952,0.000729007965972375,0,0,0,0,0,0,package://grap_description/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://grap_description/meshes/link_2.STL,,link3-2,Origin_joint_2,Axis_joint_2,joint_2,revolute,0,-0.0005,0.068719,0,0,0,link_1,-1,0,0,0,0,0,0,,,,,,,,
link_3,0.00556942315189014,0.0159629818583244,0.0167696823119708,0,0,0,0.398679361770722,0.000416745288177109,-3.47434917961218E-06,3.23990501593985E-06,0.000375158213106478,-4.50186074962209E-05,0.000325767200255177,0,0,0,0,0,0,package://grap_description/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://grap_description/meshes/link_3.STL,,link4-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0,-0.0095271,0.24582,0.041978,0,0,link_2,1,0,0,0,0,0,0,,,,,,,,
link_4,-0.000450394342593537,0.0976802655619906,2.03746135479799E-05,0,0,0,1.8261804701663,0.00210255182937435,2.29902955299491E-05,-7.18041313732403E-07,0.00203452811208358,-9.16847068684897E-08,0.00204365103205903,0,0,0,0,0,0,package://grap_description/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://grap_description/meshes/link_4.STL,,link5-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,-0.000427000000000295,0.054679674711157,0.02799999999999,0,0.00292198840003054,0,link_3,0,-1,0,0,0,0,0,,,,,,,,
link_5,-0.000940353193648331,0.0653029129196113,-0.00549326154095703,0,0,0,0.374215035422608,0.000270325796137459,-6.15170805624937E-08,5.79348371080446E-07,0.000236192995819435,1.1525902201961E-06,0.000265738649483187,0,0,0,0,0,0,package://grap_description/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://grap_description/meshes/link_5.STL,,link6-1,Origin_joint_5,Axis_joint_5,joint_5,revolute,0,0.157320325288843,0,0,0,0,link_4,1,0,0,0,0,0,0,,,,,,,,
gripper,-2.68262754406084E-05,0.034601415676076,-0.00192591497150746,0,0,0,0.086559841068276,1.28836553131188E-05,-2.16585157564151E-07,1.9387711366824E-07,3.83162023632297E-05,4.43523340333197E-07,3.10662084307227E-05,0,0,0,0,0,0,package://grap_description/meshes/gripper.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://grap_description/meshes/gripper.STL,,end_effector-2,Origin_joint_6,Axis_joint_6,joint_6,revolute,-0.001,0.096952,-0.0080658,-0.083011,-0.014025,0.0011669,link_5,0,1,0,0,0,0,0,,,,,,,,
jaw_1,-0.0163227415466946,0.0109639611316651,-0.0103863936568477,0,0,0,0.00654748908881563,8.84676971240293E-07,1.95149751371114E-08,-7.19300070994304E-08,7.00611451021727E-07,1.59781110542551E-07,6.07697845789848E-07,0,0,0,0,0,0,package://grap_description/meshes/jaw_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://grap_description/meshes/jaw_1.STL,,jaw1-1,Origin_gripper_to_jaw1,Axis_gripper_to_jaw1,gripper_to_jaw1,prismatic,0,0.0492703212936029,0.0127749999999998,0,0,0,gripper,1,0,0,0,0,0,0,,,,,,,,
jaw_2,0.0212544075235043,0.0110527863198366,0.0105172602203642,0,0,0,0.00651398599816586,8.60320637498025E-07,-2.08874044579361E-08,-7.39519895968084E-08,6.78016333592718E-07,-1.4826583785601E-07,5.94973793624687E-07,0,0,0,0,0,0,package://grap_description/meshes/jaw_2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://grap_description/meshes/jaw_2.STL,,jaw2-1,Origin_gripper_to_jaw2,Axis_gripper_to_jaw2,gripper_to_jaw2,prismatic,0.0027062,0.04927,-0.012375,0,0,0,gripper,-1,0,0,0,0,0,0,,,,,,,,
